title,stars,text,username,version,date,app_id,app_name,country
i love it,5,so easy to edit and perfect !,beyybeyyl,3.1.2,2020-12-20,1449465633,Layer,Malaysia
Best ever apps👍🏻,5,Best ever apps,tiraaaaaaaaaaaaaaaaa,3.1.1,2020-09-13,1449465633,Layer,Malaysia
Easy!,5,A lot of templates and beautiful!,Najmi1603,3.1.1,2020-08-16,1449465633,Layer,Malaysia
Nice apps!,5,Keep it up!,Lunzyandra89,3.1.1,2020-08-03,1449465633,Layer,Malaysia
Best,5,Good app,Khairunz,3.1.1,2020-07-28,1449465633,Layer,Malaysia
Love it,5,Love it,Usyazwa,3.1.1,2020-07-11,1449465633,Layer,Malaysia
Filter,5,Good,nuwiiiiinnn,3.1.0,2020-05-17,1449465633,Layer,Malaysia
Ifazs,5,Good,ifazs,3.1.0,2020-04-27,1449465633,Layer,Malaysia
ok,5,ok,nuttvaut,3.1.0,2020-04-01,1449465633,Layer,Malaysia
Variation of choices around at the ease of fingertipes,5,Variations are classed to few different categories which makes it easier for me to make choices based on different situation. The template are almost HD that gives me satisfactory in the end result.,Luke Afeeq,3.0.9,2020-03-18,1449465633,Layer,Malaysia
Beautiful,5,Sooooo beautiful,amirah zahirah,3.0.9,2020-02-26,1449465633,Layer,Malaysia
Nice,5,Nice app. Easy to use. Hoping for new templates soon.,Skibodingbodingg16788,3.0.9,2020-02-26,1449465633,Layer,Malaysia
Just discover it!,5,"Great apps, just like the others.",Strangerz92,3.0.9,2020-02-08,1449465633,Layer,Malaysia
