title,review,username,app_name,app_id,country,rating,sentiment,date,day,version_lvl1,version_lvl2,version_lvl3,link_words
Simply the best,"From web, now on to the app, good job guys! But still have tons of rooms for improvements im sure. But overall, very excited to be using it. Thanks guys!",Ejad,Crello,1402471998,Malaysia,5,Positive,2021-03-25,Thursday,1,1.11,1.11.2,have tons
Simply the best,"From web, now on to the app, good job guys! But still have tons of rooms for improvements im sure. But overall, very excited to be using it. Thanks guys!",Ejad,Crello,1402471998,Malaysia,5,Positive,2021-03-25,Thursday,1,1.11,1.11.2,guys From web
Simply the best,"From web, now on to the app, good job guys! But still have tons of rooms for improvements im sure. But overall, very excited to be using it. Thanks guys!",Ejad,Crello,1402471998,Malaysia,5,Positive,2021-03-25,Thursday,1,1.11,1.11.2,tons of rooms
I cant download my project (instagram story video),"As the title, i cant download my project. Its keep on saying “something went wrong” . I already see the tutorial which asked me to clear all the cookies and cache but i still fail to download it. Hope you can fix the bug as soon as possible.",farisha atikah,Crello,1402471998,Malaysia,4,Positive,2021-02-08,Monday,1,1.1,1.10.1,download project
I cant download my project (instagram story video),"As the title, i cant download my project. Its keep on saying “something went wrong” . I already see the tutorial which asked me to clear all the cookies and cache but i still fail to download it. Hope you can fix the bug as soon as possible.",farisha atikah,Crello,1402471998,Malaysia,4,Positive,2021-02-08,Monday,1,1.1,1.10.1,see tutorial
I cant download my project (instagram story video),"As the title, i cant download my project. Its keep on saying “something went wrong” . I already see the tutorial which asked me to clear all the cookies and cache but i still fail to download it. Hope you can fix the bug as soon as possible.",farisha atikah,Crello,1402471998,Malaysia,4,Positive,2021-02-08,Monday,1,1.1,1.10.1,clear cookies
I cant download my project (instagram story video),"As the title, i cant download my project. Its keep on saying “something went wrong” . I already see the tutorial which asked me to clear all the cookies and cache but i still fail to download it. Hope you can fix the bug as soon as possible.",farisha atikah,Crello,1402471998,Malaysia,4,Positive,2021-02-08,Monday,1,1.1,1.10.1,fix bug
Well done crello,Nicee but please fix a adjust crop,fuzfazs,Crello,1402471998,Malaysia,4,Positive,2021-01-24,Sunday,1,1.1,1.10.0,fix crop
Bad,"Have you guys ever try crello on desktop? The page always go blank when you click on next page to edit. Then you need to refresh again, happened again, refresh again and again and again. Not recommended🙂",ssnkh,Crello,1402471998,Malaysia,1,Negative,2021-01-20,Wednesday,1,1.1,1.10.0,try crello
Bad,"Have you guys ever try crello on desktop? The page always go blank when you click on next page to edit. Then you need to refresh again, happened again, refresh again and again and again. Not recommended🙂",ssnkh,Crello,1402471998,Malaysia,1,Negative,2021-01-20,Wednesday,1,1.1,1.10.0,recommended 🙂
Bad,"Have you guys ever try crello on desktop? The page always go blank when you click on next page to edit. Then you need to refresh again, happened again, refresh again and again and again. Not recommended🙂",ssnkh,Crello,1402471998,Malaysia,1,Negative,2021-01-20,Wednesday,1,1.1,1.10.0,guys try
Bad,"Have you guys ever try crello on desktop? The page always go blank when you click on next page to edit. Then you need to refresh again, happened again, refresh again and again and again. Not recommended🙂",ssnkh,Crello,1402471998,Malaysia,1,Negative,2021-01-20,Wednesday,1,1.1,1.10.0,page go
Bad,"Have you guys ever try crello on desktop? The page always go blank when you click on next page to edit. Then you need to refresh again, happened again, refresh again and again and again. Not recommended🙂",ssnkh,Crello,1402471998,Malaysia,1,Negative,2021-01-20,Wednesday,1,1.1,1.10.0,guys try crello
Bad,"Have you guys ever try crello on desktop? The page always go blank when you click on next page to edit. Then you need to refresh again, happened again, refresh again and again and again. Not recommended🙂",ssnkh,Crello,1402471998,Malaysia,1,Negative,2021-01-20,Wednesday,1,1.1,1.10.0,next page
Above expectations,Love the free version. Still has a lot more than other apps. Can’t wait to try the premium!,nadiraazhar,Crello,1402471998,Malaysia,5,Positive,2020-09-10,Thursday,1,1.6,1.6.1,Love version
Above expectations,Love the free version. Still has a lot more than other apps. Can’t wait to try the premium!,nadiraazhar,Crello,1402471998,Malaysia,5,Positive,2020-09-10,Thursday,1,1.6,1.6.1,try premium
Above expectations,Love the free version. Still has a lot more than other apps. Can’t wait to try the premium!,nadiraazhar,Crello,1402471998,Malaysia,5,Positive,2020-09-10,Thursday,1,1.6,1.6.1,free version
Above expectations,Love the free version. Still has a lot more than other apps. Can’t wait to try the premium!,nadiraazhar,Crello,1402471998,Malaysia,5,Positive,2020-09-10,Thursday,1,1.6,1.6.1,other apps
Great tool,Great tool for great design,Teo YJ,Crello,1402471998,Malaysia,5,Positive,2020-06-02,Tuesday,1,1.5,1.5.6,great design
Great tool,Great tool for great design,Teo YJ,Crello,1402471998,Malaysia,5,Positive,2020-06-02,Tuesday,1,1.5,1.5.6,tool for design
Still needs work,"It can be considered an alternative to Canva, but it’s too limited. Almost every icon and illustration requires you to purchase the premium product. Like out of 15 templates, only 1 is free. I tried using one of the templates, everything looks fine until I saved it. There’s no option like Canva to save as PDF or JPEG, and the saved image is different from what I see in the app where the elements and icons are all over the place.",purrncess,Crello,1402471998,Malaysia,1,Negative,2020-03-04,Wednesday,1,1.5,1.5.5,purchase product
Still needs work,"It can be considered an alternative to Canva, but it’s too limited. Almost every icon and illustration requires you to purchase the premium product. Like out of 15 templates, only 1 is free. I tried using one of the templates, everything looks fine until I saved it. There’s no option like Canva to save as PDF or JPEG, and the saved image is different from what I see in the app where the elements and icons are all over the place.",purrncess,Crello,1402471998,Malaysia,1,Negative,2020-03-04,Wednesday,1,1.5,1.5.5,icon require
Still needs work,"It can be considered an alternative to Canva, but it’s too limited. Almost every icon and illustration requires you to purchase the premium product. Like out of 15 templates, only 1 is free. I tried using one of the templates, everything looks fine until I saved it. There’s no option like Canva to save as PDF or JPEG, and the saved image is different from what I see in the app where the elements and icons are all over the place.",purrncess,Crello,1402471998,Malaysia,1,Negative,2020-03-04,Wednesday,1,1.5,1.5.5,Canva save
Still needs work,"It can be considered an alternative to Canva, but it’s too limited. Almost every icon and illustration requires you to purchase the premium product. Like out of 15 templates, only 1 is free. I tried using one of the templates, everything looks fine until I saved it. There’s no option like Canva to save as PDF or JPEG, and the saved image is different from what I see in the app where the elements and icons are all over the place.",purrncess,Crello,1402471998,Malaysia,1,Negative,2020-03-04,Wednesday,1,1.5,1.5.5,image be
Still needs work,"It can be considered an alternative to Canva, but it’s too limited. Almost every icon and illustration requires you to purchase the premium product. Like out of 15 templates, only 1 is free. I tried using one of the templates, everything looks fine until I saved it. There’s no option like Canva to save as PDF or JPEG, and the saved image is different from what I see in the app where the elements and icons are all over the place.",purrncess,Crello,1402471998,Malaysia,1,Negative,2020-03-04,Wednesday,1,1.5,1.5.5,elements be
Still needs work,"It can be considered an alternative to Canva, but it’s too limited. Almost every icon and illustration requires you to purchase the premium product. Like out of 15 templates, only 1 is free. I tried using one of the templates, everything looks fine until I saved it. There’s no option like Canva to save as PDF or JPEG, and the saved image is different from what I see in the app where the elements and icons are all over the place.",purrncess,Crello,1402471998,Malaysia,1,Negative,2020-03-04,Wednesday,1,1.5,1.5.5,premium product
Still needs work,"It can be considered an alternative to Canva, but it’s too limited. Almost every icon and illustration requires you to purchase the premium product. Like out of 15 templates, only 1 is free. I tried using one of the templates, everything looks fine until I saved it. There’s no option like Canva to save as PDF or JPEG, and the saved image is different from what I see in the app where the elements and icons are all over the place.",purrncess,Crello,1402471998,Malaysia,1,Negative,2020-03-04,Wednesday,1,1.5,1.5.5,alternative to Canva
