link_words,count,rating,sentiment
edit photos,2,3,Neutral
home screen,2,1,Negative
save image,2,1,Negative
CHEER UP,1,5,Positive
Chinese font type,1,5,Positive
FOUND APP,1,5,Positive
Lot do,1,5,Positive
Lot of things,1,5,Positive
app save,1,5,Positive
better photo edit,1,5,Positive
edit photo,1,5,Positive
editing app,1,5,Positive
know Pixlr,1,5,Positive
love one,1,5,Positive
people know,1,5,Positive
people know Pixlr,1,5,Positive
update app,1,5,Positive
hope filters,1,4,Positive
more filters,1,4,Positive
new update,1,4,Positive
pack of function,1,4,Positive
photoshop To,1,4,Positive
action take,1,3,Neutral
fix error,1,3,Neutral
iphone use,1,3,Neutral
iphone use App,1,3,Neutral
send report,1,3,Neutral
use App,1,3,Neutral
Negative effect,1,2,Negative
app auto,1,2,Negative
auto shut,1,2,Negative
bucket tool,1,2,Negative
couple of hour,1,2,Negative
download effect,1,2,Negative
effect of overlay,1,2,Negative
have tool,1,2,Negative
installed ios11,1,2,Negative
installed ios11installed picture,1,2,Negative
mobile app,1,2,Negative
saving picture,1,2,Negative
use couple,1,2,Negative
Keep loading,1,1,Negative
add file,1,1,Negative
close app,1,1,Negative
college section,1,1,Negative
deleting app,1,1,Negative
deleting appdeleting difference,1,1,Negative
download font,1,1,Negative
feature go,1,1,Negative
fix guys,1,1,Negative
high resolution,1,1,Negative
home page,1,1,Negative
latest update,1,1,Negative
love app,1,1,Negative
png file,1,1,Negative
png look,1,1,Negative
redownload effects,1,1,Negative
redownload effectsredownload filters,1,1,Negative
reupload filter,1,1,Negative
save picture,1,1,Negative
standard good editing,1,1,Negative
